yyyy,mm,tmax,tmin,latitude,longitude
2008,2,9.6,-0.5,,
2008,3,9.7,2,,
2008,4,11.5,3.3,,
2008,5,17.7,8.3,,
2008,6,18.6,8.9,,
2008,7,20.8,11.5,,
2008,8,19.9,12.6,,
2008,9,17.3,9.1,,
2008,10,13.3,5.8,,
2008,11,9.5,4,,
2008,12,6.6,0.4,,
2009,1,6.2,-0.6,,
2009,2,7.3,1.5,,
2009,3,11.1,2.5,,
2009,4,14.4,4.7,,
2009,5,16.4,6.8,,
2009,6,19.5,9.3,,
2009,7,19.8,11.4,,
2009,8,20.6,11.6,,
2009,9,18.2,9.5,,
2009,10,15.4,7.1,,
2009,11,11.1,5.3,,
2009,12,5.6,-0.7,,
2010,1,4,-1.9,,
2010,2,5.9,-0.9,,
2010,3,10.4,1.1,,
2010,4,14,3,,
2010,5,15.4,5.6,,
2010,6,20.8,9.7,,
2010,7,20.7,12.8,,
2010,8,19.1,10.6,,
2010,9,18,9.6,,
2010,10,14,5.5,,
2010,11,8,0.8,,
2010,12,2,-5.8,,
2011,1,6.4,0.2,,
2011,2,9.5,3.5,,
2011,3,10.8,1.1,,
2011,4,16.9,5.6,,
2011,5,16.8,7.5,,
2011,6,18.7,8.1,,
2011,7,20.2,10.3,,
2011,8,20.4,11,,
2011,9,20,10.6,,
2011,10,16.6,8.4,,
2011,11,12.2,5.9,,
2011,12,9.3,2.8,,
2012,1,8.8,1.6,,
2012,2,7.6,0.9,,
2012,3,13,3.2,,
2012,4,11.1,2.8,,
2012,5,16.5,6.9,,
2012,6,17.4,10,,
2012,7,19.3,11.4,,
2012,8,20.3,11.7,,
2012,9,17,7.8,,
2012,10,12.7,5.1,,
2012,11,9.8,1.9,,
2012,12,7.7,0.7,,
2013,1,6,0.6,,
2013,2,6.1,-0.2,,
2013,3,5.7,-1,,
2013,4,11.8,2.1,,
2013,5,14.7,5.5,,
2013,6,18.3,8.4,,
2013,7,24.1,12.1,,
2013,8,20.8,11.5,,
2013,9,17.9,9.3,,
2013,10,15.6,9,,
2013,11,9.5,2.4,,
2013,12,9.8,2.4,,
2014,1,8.5,1.9,,
2014,2,9,3.2,,
2014,3,12,2.4,,
2014,4,14.5,5.5,,
2014,5,16.4,8,,
2014,6,19.8,10,,
2014,7,22.9,11.7,,
2014,8,19,10.2,,
2014,9,19.4,9.1,,
2014,10,15.6,7.9,,
2014,11,11.1,4.8,,
2014,12,8.3,1.4,,
2015,1,7.7,0.8,,
2015,2,7.2,0.7,,
2015,3,10.2,2,,
2015,4,14.2,3.2,,
2015,5,14.6,6.6,,
2015,6,19.2,8.7,,
2015,7,20,10.9,,
2015,8,20.1,11,,
2015,9,16.9,7.3,,
2015,10,14.7,6.3,,
2015,11,12.5,6,,
2015,12,12.6,6.9,,
2016,1,8.7,2.1,,
2016,2,8.4,0.7,,
2016,3,9.6,1.2,,
2016,4,11.8,2.6,,
2016,5,17.4,6.6,,
2016,6,19.6,11.1,,
2016,7,20.6,11.9,,
2016,8,21.4,12.3,,
